Año,Mes,Total,Ilocalizable,No Contesta,D. Incorrectos,Duplicados,Efectivos,Abiertos,Ventas,Conversion,Efectividad de Leads
2024,2,543,108,33,0,1,389,1,12,3.1,72.0
2024,6,967,140,173,31,3,620,17,6,1.0,64.0
2024,7,954,112,251,12,9,570,5,21,3.7,60.0
2025,2,561,9,39,14,31,468,150,20,4.3,83.0
2025,3,925,39,98,3,54,731,125,30,4.1,79.0
2025,4,1149,51,134,8,84,872,141,30,3.4,76.0
2025,5,815,5,75,2,14,574,179,34,5.9,70.0
2025,6,1083,62,266,5,56,694,315,40,5.8,64.0
2025,7,1358,128,241,3,93,893,290,36,4.0,66.0
2025,9,1100,32,401,9,18,660,229,38,5.8,60.0
2025,10,1192,67,413,0,17,695,288,40,5.8,58.0
2025,11,1061,46,218,1,52,744,488,41,5.5,70.0
2025,12,1534,125,194,34,44,729,823,34,4.7,48.0
2026,1,1516,148,187,52,53,714,602,37,5.2,47.0
2026,2,1235,116,106,8,31,730,523,30,4.1,59.0
2026,3,1785,228,184,48,32,944,698,38,4.0,53.0
2026,4,1393,212,123,38,28,724,559,41,5.7,52.0
2026,5,1251,158,116,25,19,736,458,35,4.8,59.0
