AFLUENCIA A PISO,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,
Pisos minimos 2025,80,80,80,80,80,80,80,80,80,80,85,,,Minimo,Maximo,Promedio
Real pisos,76,64,80,43,65,59,63,71,58,72,81,,,43,81,66.54545455
% Real,95%,80%,100%,54%,81%,74%,79%,89%,73%,90%,95%,,,,,
Pisos minimos,85,85,85,85,85,85,85,85,85,85,85,85,,,,
Real pisos,97,94,105,79,115,85,,,,,,,,,,
Objetivo minimo,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,,,,
Objetivo ideal,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,,,,
Real,110%,111%,124%,93%,135%,100%,,,,,,,,,,
Cumplimiento,129%,130%,145%,109%,159%,118%,,,,,,,,,,
,,,,,,,,,,,,,,,,
VENTAS DE PLAZA,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,
Objetivo ,4,4,6,6,8,8,10,10,12,12,14,14,,,,
Real ventas ,6,6,7,7,7,10,,,,,,,,,,
% real,150.00%,150.00%,116.67%,116.67%,87.50%,125.00%,,,,,,,,,,
Objetivo minimo,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,,,,
Objetivo ideal,70%,70%,70%,70%,70%,75%,75%,75%,80%,80%,85%,85%,,,,
Real,43%,86%,117%,117%,88%,125%,,,,,,,,,,
Cumplimiento,61%,122%,167%,167%,125%,167%,,,,,,,,,,
,,,,,,,,,,,,,,,,
TENDENCIA REDES SOCIALES,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,
2025 Visualizaciones,9853,7373,13319,37453,19143,22677,29290,39946,47443,51228,33847,32510,,,,
Objetivo visualizaciones,28674,28674,28674,28674,28674,28674,28674,28674,28674,28674,28674,28674,,,,
Real visualizaciones,40478,27979,28448,32092,62405,35280,,,,,,,,,,
% Real,141.17%,97.58%,99.21%,111.92%,110.00%,110.00%,,,,,,,,,,
Objetivo minimo,85%,85%,85%,85%,85%,85%,,,,,,,,,,
Objetivo ideal,95%,95%,95%,95%,95%,95%,,,,,,,,,,
Real,141%,98%,99%,112%,110%,110%,,,,,,,,,,
Cumplimiento,149%,103%,104%,118%,116%,116%,,,,,,,,,,
,,,,,,,,,,,,,,,,
UTILIDAD NETA,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,
Objetivo,0.76,0.77, 0.82 , 0.79 ,0.87,0.94,0.98,0.86,1,1.01,1.06,1.08,,,,
Real,0.634,1.333, 1.38 , 1.35 ,0.85,,,,,,,,,,,
Objetivo Minimo,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,,,,
Objetivo ideal,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,,,,
Real,83%,173%,168%,171%,98%,0%,0%,0%,0%,0%,0%,0%,,,,
Cumplimiento,93%,192%,187%,189%,109%,0%,0%,0%,0%,0%,0%,0%,,,,
,,,,,,,,,,,,,,,,
ROTACION DE PERSONAL ,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,
Permitido ,1,1,1,1,1,1,1,1,1,1,1,1,,,,
Rotacion   ,0,0,0,0,0,0,,,,,,,,,,
Objetivo Minimo,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,25%,,,,
Objetivo ideal,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,,,,
Real,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,
Cumplimiento,105%,105%,105%,105%,105%,105%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
RECUPERACION DE MARCA,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,
Objetivo,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,,,,
Real,90%,100%,72%,91%,92%,85%,,,,,,,,,,
Objetivo Minimo,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,60%,,,,
Objetivo ideal,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,,,,
Real,106%,118%,85%,107%,108%,100%,,,,,,,,,,
Cumplimiento,118%,131%,94%,119%,120%,111%,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
