RDC,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,RDC,LIGA,,,,,,,,,,,,,,,,
OBJETIVO MÍNIMO,85%,85%,85%,90%,90%,90%,90%,90%,90%,90%,90%,90%,,,,,,,,,,,,,,,,,,,
OBJETIVO IDEAL,90%,90%,90%,95%,95%,95%,95%,95%,95%,95%,95%,95%,,,,,,,,,,,,,,,,,,,
REAL,100%,90%,99%,94%,100,100,,,,,,,,,,,,,,,,,,,,,,,,,
CUMPLI MIENTO,100%,100%,110%,100%,105%,105%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROTACIÓN DE PERSONAL,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,NA,,,,,,,,,,,,,,,,,
OBJETIVO MÍNIMO,25%,,,25%,,,25%,,,25%,,,,,,,,,,,,,,,,,,,,,
OBJETIVO IDEAL,16%,,,16%,,,16%,,,16%,,,,,,,,,,,,,,,,,,,,,
REAL,0%,0%,0%,0%,0%,0,,,,,,,,,,,,,,,,,,,,,,,,,
CUMPLI MIENTO,105%,105%,105%,105%,105%,105%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRIMER SERVICIO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,U366,FORMULA TOTAL FACTURADO EN TRIMESTRES ENTRE PERSONAS QUE REGRESAN A SERVICIO,,,,,,,,,,,,,,,,
OBJETIVO MÍNIMO,75%,80%,80%,85%,85%,85%,90%,90%,90%,90%,90%,90%,,,,,,,,,,,,,,,,,,,
OBJETIVO IDEAL,70%,75%,75%,80%,80%,80%,85%,85%,85%,85%,85%,85%,,,,,,,,,,,,,,,,,,,
REAL,89%,72%,59%,39%,0.933333333,0.764705882,,,,,,,,,,,,,,,,,,,,,,,,,
CUMPLI MIENTO,127%,96%,79%,49%,117%,96%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP/CE,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,U366,"EXCEL DONDE SE PROGRAMAN CITAS , CLIENTYE DE 6 12 18 24 MESES ASISTIDOS EN EL MES ENTRE LOS CLIENTES ",,,,,,,,,,,,,,,,
OBJETIVO MÍNIMO,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,,,,,,,,,,,,,,,,,,,
OBJETIVO IDEAL,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,,,,,,,,,,,,,,,,,,,
REAL,121%,111%,0.734042553,0.764044944,0.817307692,0.706766917,,,,,,,,,,,,,,,,,,,,,,,,,
CUMPLI MIENTO,135%,123%,82%,85%,91%,79%,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETENCION GENERAL,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,,BI,,,,,,,,,,,,,,,,,
OBJETIVO MÍNIMO,75%,75%,75%,80%,80%,80%,80%,80%,80%,85%,85%,85%,,,,,,,,,,,,,,,,,,,
OBJETIVO IDEAL,80%,80%,80%,85%,85%,85%,85%,85%,85%,85%,85%,85%,,,,,,,,,,,,,,,,,,,
REAL,70%,77%,78.48,77.52,70,72,,,,,,,,,,,,,,,,,,,,,,,,,
CUMPLI MIENTO,88%,96%,98.1,91.2,82.35294118,84.70588235,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTILIDAD NETA DE SERVICIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,
Plan UN estimado,"$131,464.64","$118,318.21","$131,464.64","$131,464.64","$131,464.64","$131,464.64","$135,846.73","$135,846.73","$127,082.56","$135,846.73","$127,082.56","$131,464.64",,,,,,,,,,,,,,,,,,,
UN Real,"$73,676.00","$86,933.00","$108,162.00","$54,450.00","$28,693.00",,,,,,,,,,,,,,,,,,,,,,,,,,
Cumplimiento,56%,73%,82%,41%,22%, , , , , , , ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTILIDAD NETA HYP / ASEGURADORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,,,,,,,,,,,,,,,,,,,
