"
Cumplimiento De Objetivo (Venta de Autos)",,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Objetivo,39,35,38,36,41,45,47,40,48,49,52,53
Real,37,32,41,41,35,37,34, , , , , 
% Real,95%,91%,108%,114%,85%,82%,0%,0%,0%,0%,0%,0%
Cumplimiento,105%,102%,120%,127%,95%,91%,72%,0%,0%,0%,0%,0%
Objetivo Mínimo,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
Objetivo Ideal,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
,,,,,,,,,,,,
,,,,,,,,,,,,
 Cumplir con el presupuesto de U.N. de: 4  a: 11 MM MXN ,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Objetivo,0.86,0.7,0.82,0.738,0.926,1.09,1.17,0.9,1.2,1.24,1.35,1.39
Real,0.64,1.53, 1.38 , 1.35 ,0.85,1.382, , , , , , 
% Real,74%,219%,168%,183%,92%,127%,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cumplimiento,83%,243%,187%,203%,102%,141%,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Objetivo Mínimo,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
Objetivo Ideal,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
,,,,,,,,,,,,
,,,,,,,,,,,,
"
Cumplimiento a RDC comercial",,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Objetivo,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Real,94%,73%,97%,102%,92%,90%,94%, , , , , 
% Real,94%,73%,97%,102%,92%,92%,94%,0%,0%,0%,0%,0%
Cumplimiento,99%,77%,102%,107%,97%,97%,0%,0%,0%,0%,0%,0%
Objetivo Mínimo,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
Objetivo Ideal,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
,,,,,,,,,,,,
,,,,,,,,,,,,
"
Vendedores que cumplieron su objetivo de venta",,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Objetivo,11,15,15,14,12,15,15,15,15,15,15,15
Real,7,7,7,7,4,4, , , , , , 
% Real,64%,47%,47%,50%,33%,27%,0%,0%,0%,0%,0%,0%
Cumplimiento,91%,67%,67%,67%,44%,36%,0%,0%,0%,0%,0%,0%
Objetivo Mínimo,50%,50%,50%,55%,55%,55%,60%,60%,60%,65%,65%,65%
Objetivo Ideal,70%,70%,70%,75%,75%,75%,80%,80%,80%,85%,85%,85%
,,,,,,,,,,,,
,,,,,,,,,,,,
"
Indice de rotación de personal",,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Objetivo,9%,9%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
Real,14%,0,0,2, , , , , , , , 
% Real,68%,105%,105%,100%,0%,0%,0%,0%,0%,0%,0%,0%
Cumplimiento,80%,124%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Objetivo Mínimo,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
Objetivo Ideal,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%
,,,,,,,,,,,,
,,,,,,,,,,,,
"
Ventas piso (Aportación)",,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Objetivo,20%,21%,24%,25%,26%,25%,24%,25%,21%,28%,24%,27%
Real,16%,25%,19.51%,21.95%,25.71%,29.73%, , , , , , 
% Real,80%,119%,81%,88%,99%,119%,0%,0%,0%,0%,0%,0%
Cumplimiento,94%,140%,96%,103%,110%,132%,0%,0%,0%,0%,0%,0%
Objetivo Mínimo,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
Objetivo Ideal,85%,85%,85%,85%,90%,90%,90%,90%,90%,90%,90%,90%
,,,,,,,,,,,,
Lead efectivo a cita efectiva,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Plan,25%,25%,25%,27%,27%,28%,28%,29%,29%,30%,30%,30%
Real,18%,32%,20%,36%,33%,,,,,,,
Cumplimiento,71%,129%,80%,135%,122%,,,,,,,
,,,,,,,,,,,,
Cita efectiva a SDC,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Plan,44%,44%,44%,47%,47%,47%,49%,49%,49%,50%,50%,50%
Real,53%,25%,36%,70%,36%,,,,,,,
Cumplimiento,119%,56%,82%,150%,76%,,,,,,,
,,,,,,,,,,,,
SDC ingresada a autorizada,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Plan,45%,45%,45%,47%,47%,47%,49%,49%,49%,50%,50%,50%
Real,31%,45%,48%,55%,46%,,,,,,,
Cumplimiento,69%,99%,107%,118%,99%,,,,,,,
,,,,,,,,,,,,
SDC autorizada a formalizado,,,,,,,,,,,,
Mes,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio ,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Plan,45%,45%,45%,47%,47%,47%,49%,49%,49%,50%,50%,50%
Real,60%,46%,44%,39%,41%,,,,,,,
Cumplimiento,133%,102%,98%,83%,87%,,,,,,,
