Año,Mes,Total,Ilocalizable,No Contesta,D. Incorrectos,Duplicados,Efectivos,Abiertos,Ventas,Conversion,Efectividad,Periodo
2024,2,543,108,33,0,1,389,1,12,0.031,0.72,2024.0833333333333
2024,3,178,37,13,0,0,128,1,7,0.055,0.72,2024.1666666666667
2024,4,416,79,46,3,0,288,1,8,0.027999999999999997,0.69,2024.25
2024,5,422,33,100,17,0,274,5,13,0.047,0.65,2024.3333333333333
2024,6,967,140,173,31,3,620,17,6,0.01,0.64,2024.4166666666667
2024,7,954,112,251,12,9,570,5,21,0.037000000000000005,0.6,2024.5
2024,8,1409,504,324,17,18,546,22,17,0.031,0.39,2024.5833333333333
2024,9,1315,431,314,14,26,530,42,17,0.032,0.4,2024.6666666666667
2024,10,1973,514,606,18,13,822,72,23,0.027999999999999997,0.42,2024.75
2024,11,1562,153,321,44,4,1040,79,22,0.021,0.67,2024.8333333333333
2024,12,1282,374,193,60,53,965,330,32,0.033,0.75,2024.9166666666667
2025,1,1042,17,104,62,136,723,222,26,0.036000000000000004,0.69,2025.0
2025,2,561,9,39,14,31,468,150,20,0.043,0.83,2025.0833333333333
2025,3,925,39,98,3,54,731,125,30,0.040999999999999995,0.79,2025.1666666666667
2025,4,1149,51,134,8,84,872,141,30,0.034,0.76,2025.25
2025,5,815,5,75,2,14,574,179,34,0.059000000000000004,0.7,2025.3333333333333
2025,6,1083,62,266,5,56,694,315,40,0.057999999999999996,0.64,2025.4166666666667
2025,7,1358,128,241,3,93,893,290,36,0.04,0.66,2025.5
2025,8,1419,81,591,7,59,681,338,27,0.04,0.48,2025.5833333333333
2025,9,1100,32,401,9,18,660,229,38,0.057999999999999996,0.6,2025.6666666666667
2025,10,1192,67,413,0,17,695,288,40,0.057999999999999996,0.58,2025.75
2025,11,1061,46,218,1,52,744,488,41,0.055,0.7,2025.8333333333333
2025,12,1534,125,194,34,44,729,823,34,0.047,0.48,2025.9166666666667
2026,1,1516,148,187,52,53,714,602,37,0.052000000000000005,0.47,2026.0
2026,2,1235,116,106,8,31,730,523,30,0.040999999999999995,0.59,2026.0833333333333
2026,3,1785,228,184,48,32,944,698,38,0.04,0.53,2026.1666666666667
2026,4,1393,212,123,38,28,724,559,41,0.057,0.52,2026.25
2026,5,1251,158,116,25,19,736,458,35,0.048,0.59,2026.3333333333333
